nom_commune,codes_postaux,code_insee,latitude,longitude
Ozan,1190,1284,46.383333,4.916667
Parcieux,1600,1285,45.916667,4.816667
Perrex,1540,1291,46.233333,4.983333
Peyzieux-sur-Saône,1140,1295,46.116667,4.816667
Pont-de-Vaux,1190,1305,46.433333,4.933333
Pont-de-Veyle,1290,1306,46.266667,4.883333
Rancé,1390,1318,45.966667,4.866667
Relevant,1990,1319,46.083333,4.95
Replonges,1620,1320,46.3,4.883333
Reyrieux,1600,1322,45.933333,4.816667
Reyssouze,1190,1323,46.433333,4.916667
Romans,1400,1328,46.116667,5.033333
Saint-André-de-Bâgé,1380,1332,46.3,4.916667
Saint-André-de-Corcy,1390,1333,45.916667,4.95
Saint-André-d'Huiriat,1290,1334,46.216667,4.916667
Saint-André-le-Bouchoux,1240,1335,46.116667,5.083333
Saint-Bénigne,1190,1337,46.433333,4.966667
Saint-Cyr-sur-Menthon,1380,1343,46.266667,4.983333
Saint-Didier-de-Formans,1600,1347,45.95,4.783333
Saint-Didier-sur-Chalaronne,1140,1348,46.166667,4.816667
Sainte-Euphémie,1600,1353,45.966667,4.783333
Sainte-Olive,1330,1382,46.016667,4.933333
Saint-Etienne-sur-Chalaronne,1140,1351,46.15,4.866667
Saint-Etienne-sur-Reyssouze,1190,1352,46.4,5
Saint-Genis-sur-Menthon,1380,1355,46.283333,5.016667
Saint-Georges-sur-Renon,1400,1356,46.1,5.033333
Saint-Germain-sur-Renon,1240,1359,46.083333,5.05
Saint-Jean-de-Thurigneux,1390,1362,45.95,4.883333
Saint-Jean-sur-Veyle,1290,1365,46.25,4.916667
Saint-Julien-sur-Veyle,1540,1368,46.2,4.95
Saint-Laurent-sur-Saône,1620,1370,46.3,4.833333
Saint-Maurice-de-Beynost,1700,1376,45.833333,4.966667
Saint-Nizier-le-Désert,1320,1381,46.05,5.15
Saint-Paul-de-Varax,1240,1383,46.1,5.133333
Saint-Trivier-sur-Moignans,1990,1389,46.066667,4.9
Sandrans,1400,1393,46.066667,4.983333
Savigneux,1480,1398,46,4.85
Sermoyer,1190,1402,46.5,4.983333
Sulignat,1400,1412,46.166667,4.966667
Thil,1120,1418,45.816667,5.016667
Thoissey,1140,1420,46.166667,4.8
Toussieux,1600,1423,45.966667,4.833333
Tramoyes,1390,1424,45.866667,4.966667
Trévoux,1600,1427,45.933333,4.766667
Valeins,1140,1428,46.116667,4.866667
Versailleux,1330,1434,45.983333,5.1
Vésines,1570,1439,46.35,4.866667
Villars-les-Dombes,1330,1443,46,5.016667
Vonnas,1540,1457,46.216667,5
Achery,2800,2002,49.683333,3.383333
Aguilcourt,2190,2005,49.4,3.966667
Aizelles,2820,2007,49.483333,3.816667
Amifontaine,2190,2013,49.483333,3.916667
Andelain,2800,2016,49.633333,3.366667
Anguilcourt-le-Sart,2800,2017,49.683333,3.433333
Anizy-le-Château,2320,2018,49.5,3.45
Archon,2360,2021,49.741667,4.116667
Arrancy,2860,2024,49.483333,3.75
Assis-sur-Serre,2270,2027,49.683333,3.566667
Athies-sous-Laon,2840,2028,49.566667,3.683333
Aubigny-en-Laonnois,2820,2033,49.5,3.8
Aulnois-sous-Laon,2000,2037,49.616667,3.6
Barenton-Bugny,2000,2046,49.633333,3.65
Barenton-Cel,2000,2047,49.65,3.633333
